date,E_NF@KAU.A,ECT@KAU.A,EMN@KAU.A,E_TTU@KAU.A,E_TU@KAU.A,E_TRADE@KAU.A,EIF@KAU.A,E_FIR@KAU.A,EFI@KAU.A,ERE@KAU.A,E_PBS@KAU.A,EPS@KAU.A,EMA@KAU.A,EAD@KAU.A,E_EDHC@KAU.A,EED@KAU.A,EHC@KAU.A,E_LH@KAU.A,EAE@KAU.A,EAF@KAU.A,EOS@KAU.A,EGV@KAU.A,EGV@KAU.A,EGVFD@KAU.A,E_GVSL@KAU.A,EMPL@KAU.A,UR@KAU.A,ERT@KAU.A,EWT@KAU.A
1972-01-01,10.158333333333333,0.61475,1.2753250000000003,1.8633999999999997,0.608525,,,0.2947,0.1000565046026685,0.19464166666666669,,,,,,,0.3961333333333333,,,2.2742583333333335,,2.275,2.275,0.2999999999999999,1.9749999999999996,,,,
1973-01-01,10.691666666666668,0.7068083333333334,1.2258083333333332,2.084825,0.8114333333333333,,,0.34416666666666673,0.11704992641454406,0.2271416666666667,,,,,,,0.4217833333333334,,,2.2932583333333336,,2.2416666666666667,2.2416666666666667,0.40000000000385866,1.8416666666666666,,,,
1974-01-01,10.666666666666666,0.8621083333333334,1.0569416666666667,2.101108333333334,0.7017666666666668,,,0.41655,0.14200031461622753,0.2745166666666667,,,,,,,0.45655833333333323,,,2.2756666666666665,,2.25,2.25,0.4,1.8499999999999999,,,,
1975-01-01,11.6,0.8674916666666665,1.2229,2.2160083333333334,0.737925,,,0.5514333333333333,0.1911938622238046,0.3602083333333333,,,,,,,0.5447416666666668,,,2.426075,,2.4,2.4,0.2999999999999999,2.1,,,,
1976-01-01,12.299999999999999,0.8078833333333334,1.212025,2.3848499999999997,0.7862166666666668,,,0.6240916666666666,0.21646983240147727,0.4076083333333333,,,,,,,0.5671666666666666,,,2.659691666666667,,2.6,2.6,0.3,2.3000000000000003,,,,
1977-01-01,13.041666666666664,0.6839083333333335,1.1258083333333333,2.7201583333333335,0.9629249999999999,,,0.7317333333333332,0.2560864106695801,0.4756666666666667,,,,,,,0.6334583333333333,,,2.905258333333333,,2.641666666666667,2.641666666666667,0.3,2.3416666666666672,,,,
1978-01-01,13.683333333333335,0.7042999999999999,1.180525,2.8561666666666667,0.9833833333333333,,,0.8329,0.2920401034744664,0.5408750000000001,,,,,,,0.7155499999999999,,,3.0397250000000002,,2.733333333333333,2.733333333333333,0.2999999999999999,2.433333333333333,,,,
1979-01-01,14.283333333333333,0.9308166666666667,1.203975,2.9154750000000003,0.9354916666666665,,,0.8970833333333333,0.3153051448731957,0.581775,,,,,,,0.815925,,,3.22415,,2.7416666666666667,2.7416666666666667,0.29999999999999993,2.4416666666666664,,,,
1980-01-01,15.158333333333331,1.4052583333333333,1.2145916666666667,3.055258333333333,0.9388000000000001,,,0.9442416666666666,0.33229881289146496,0.6119416666666667,,,,,,,0.8847666666666667,,,3.4502083333333338,,2.783333333333333,2.783333333333333,0.29999999999999993,2.483333333333334,,,,
1981-01-01,15.241666666666667,1.1010416666666667,1.2391333333333334,3.0689083333333333,0.9510416666666669,,,0.8820749999999999,0.31220164936312295,0.569875,,,,,,,0.9573,,,3.6112999999999995,,2.8000000000000003,2.8000000000000003,0.29999999999999993,2.5,,,,
1982-01-01,15.149999999999999,0.8069416666666666,1.204191666666667,3.117691666666666,0.9439083333333333,,,0.8019999999999999,0.28309016118825153,0.5189083333333333,,,,,,,1.0237166666666668,,,3.8679,,2.816666666666667,2.816666666666667,0.2999999999999999,2.5166666666666666,,,,
1983-01-01,15.741666666666667,1.0282583333333335,1.2011833333333333,3.3193250000000005,0.9942416666666666,,,0.8161166666666667,0.28967621885538875,0.5264416666666666,,,,,,,1.0555916666666665,,,3.9790833333333335,,2.8166666666666664,2.8166666666666664,0.29999999999999993,2.516666666666667,,,,
1984-01-01,15.741666666666667,0.6455666666666667,1.2034666666666665,3.510966666666667,1.03835,,,0.8072083333333332,0.28680939010518464,0.5204000000000001,,,,,,,1.102475,,,4.1107,,2.775,2.775,0.2999999999999999,2.475,,,,
